"Species","Plot","Location","GH","site"
"BETPAP_GR_5",1,"RB","","GR"
"ACEPEN_SH",1,"none","","SH"
"BETPAP_SH_1",1,"CG","","SH"
"ALNINC_GR_11",1,"CG","","GR"
"BETPOP_WM_7",1,"CG","","WM"
"BETALL_WM_8",1,"CG","","WM"
"ALNINC_WM_2",1,"CG","","WM"
"BETPOP_HF_3",1,"CG","","HF"
"BETALL_GR_10",1,"CG","","GR"
"ACEPEN_SH",1,"none","","SH"
"ACEPEN_SH",1,"none","","SH"
"ALNINC_WM_5",1,"CG","","WM"
"ALNINC_HF_1",1,"CG","","HF"
"BETALL_GR_12",1,"CG","","GR"
"BETPOP_GR_5",1,"CG","","GR"
"AMECAN_HF",1,"none","","HF"
"BETPAP_SH_1",1,"CG","","SH"
"ALNINC_WM_2",1,"CG","","WM"
"ALNINC_SH_5",2,"CG","","SH"
"ALNINC_SH_4",2,"CG","","SH"
"AMECAN_WM_1",2,"CG","","WM"
"BETPAP_GR_5",2,"RB","","GR"
"BETALL_GR_13",2,"CG","","GR"
"AMECAN_HF",2,"none","","HF"
"ALNINC_WM_5",2,"CG","","WM"
"BETPAP_HF",2,"none","","HF"
"BETPOP_HF_5",2,"CG","","HF"
"BETPAP_WM",2,"none","","WM"
"ACEPEN_HF_12",2,"CG","","HF"
"BETPOP_WM_7",2,"CG","","WM"
"ACEPEN_WM_5",2,"CG","","WM"
"BETPAP_GR_5",2,"CG","","GR"
"ALNINC_HF_9",2,"CG","","HF"
"BETPOP_HF_1",2,"CG","","HF"
"AMECAN_WM",2,"none","","WM"
"AMECAN_HF",2,"none","","HF"
"AMECAN_GR_10",2,"CG","","GR"
"ALNINC_WM_5",2,"CG","","WM"
"ACEPEN_HF_12",2,"CG","","HF"
"BETALL_GR_13",3,"CG","","GR"
"BETPAP_HF",3,"none","","HF"
"AMECAN_GR_10",3,"CG","","GR"
"AMECAN_WM",3,"none","","WM"
"BETPAP_SH",3,"none","","SH"
"BETPAP_WM",3,"none","","WM"
"BETALL_SH_4",3,"CG","","SH"
"BETPOP_GR_5",3,"CG","","GR"
"BETALL_GR_12",3,"CG","","GR"
"ACEPEN_SH",3,"none","","SH"
"BETPAP_GR",3,"none","","GR"
"AMECAN_GR_10",3,"CG","","GR"
