Species,Plot,Location,GH
BETPAP_GR_5,1,RB,
ACEPEN_SH,1,none,
BETPAP_SH_1,1,CG,
ALNINC_GR_11,1,CG,
BETPOP_WM_7,1,CG,
BETALL_WM_8,1,CG,
ALNINC_WM_2,1,CG,
BETPOP_HF_3,1,CG,
BETALL_GR_10,1,CG,
ACEPEN_SH,1,none,
ACEPEN_SH,1,none,
ALNINC_WM_5,1,CG,
ALNINC_HF_1,1,CG,
BETALL_GR_12,1,CG,
BETPOP_GR_5,1,CG,
AMECAN_HF,1,none,
BETPAP_SH_1,1,CG,
ALNINC_WM_2,1,CG,
ALNINC_SH_5,2,CG,
ALNINC_SH_4,2,CG,
AMECAN_WM_1,2,CG,
BETPAP_GR_5,2,RB,
BETALL_GR_13,2,CG,
AMECAN_HF,2,none,
ALNINC_WM_5,2,CG,
BETPAP_HF,2,none,
BETPOP_HF_5,2,CG,
BETPAP_WM,2,none,
ACEPEN_HF_12,2,CG,
BETPOP_WM_7,2,CG,
ACEPEN_WM_5,2,CG,
BETPAP_GR_5,2,CG,
ALNINC_HF_9,2,CG,
BETPOP_HF_1,2,CG,
AMECAN_WM,2,none,
AMECAN_HF,2,none,
AMECAN_GR_10,2,CG,
ALNINC_WM_5,2,CG,
ACEPEN_HF_12,2,CG,
BETALL_GR_13,3,CG,
BETPAP_HF,3,none,
AMECAN_GR_10,3,CG,
AMECAN_WM,3,none,
BETPAP_SH,3,none,
BETPAP_WM,3,none,
BETALL_SH_4,3,CG,
BETPOP_GR_5,3,CG,
BETALL_GR_12,3,CG,
ACEPEN_SH,3,none,
BETPAP_GR,3,none,
AMECAN_GR_10,3,CG,
BETALL_GR_9,3,CG,
BETPOP_SH,3,none,
ALNINC_GR_12,3,CG,
BETPOP_GR_5,3,CG,
AMECAN_WM,3,none,
ALNINC_GR_8,3,CG,
ALNINC_GR_11,3,CG,
BETPOP_WM_7,3,CG,
ACEPEN_HF_12,3,CG,
ALNINC_WM_1,3,CG,
VIBCAS_SH_1,4,CG,
VIBCAS_GR_10,4,CG,
SPIALB_GR_12,4,CG,
SPITOM_WM_5,4,CG,
SPIALB_WM_2,4,CG,
MYRGAL_SH_1,4,CG,
MYRGAL_GR,4,none,
AROMEL_WM_2,4,CG,
AROMEL_WM_7,4,CG,
SPIALB_SH_9,4,CG,
SPITOM_WM_5,4,CG,
MYRGAL_SH_2,4,CG,
MYRGAL_HF,4,none,
SPIALB_HF_1,4,CG,
AROMEL_SH,4,none,
SPITOM_SH,4,none,
MYRGAL_GR,4,none,
SPIALB_HF_4,4,CG,
SPITOM_SH,4,none,
SPITOM_WM_5,4,CG,
MYRGAL_HF,4,none,
MYRGAL_SH_1,4,CG,
SPIALB_GR_3,4,CG,
VIBCAS_WM_4,4,CG,
VIBCAS_GR_10,4,CG,
MYRGAL_WM_6,4,CG,
AROMEL_WM_3,4,CG,
SPIALB_SH_9,4,CG,
SPIALB_SH_9,4,CG,
MYRGAL_WM_6,4,CG,
SPIALB_GR_7,4,CG,
MYRGAL_HF,4,none,
SPIALB_WM_6,4,RB,
VIBCAS_HF,4,none,
VIBCAS_GR_12,4,CG,
MYRGAL_GR,4,none,
SPIALB_HF_8,4,CG,
SPITOM_WM_5,4,CG,
MYRGAL_HF,4,none,
MYRGAL_SH_2,4,CG,
VIBCAS_SH_5,4,CG,
MYRGAL_GR,4,none,
SPIALB_WM_7,4,CG,
SPITOM_WM_5,4,CG,
AROMEL_HF_4,4,CG,
AROMEL_WM_5,4,CG,
SPIALB_SH_9,4,CG,
VIBCAS_GR_10,4,CG,
BETPAP_GR,5,none,
BETALL_WM_8,5,CG,
BETALL_WM_9,5,CG,
ACEPEN_HF_12,5,CG,
BETPAP_SH,5,none,
AMECAN_GR_10,5,CG,
ALNINC_GR_8,5,CG,
AMECAN_WM,5,none,
AMECAN_HF,5,none,
AMECAN_SH_4,5,RB,
ALNINC_GR_8,5,CG,
ACEPEN_GR,5,none,
AMECAN_GR_10,5,CG,
BETALL_WM_8,5,CG,
BETPAP_WM_9,5,none,
BETPAP_HF_8,5,none,
AMECAN_HF_2,5,none,
BETPAP_WM_1,5,none,
ACEPEN_GR_6,5,none,
ACEPEN_WM_5,5,CG,
ALNINC_SH_6,5,CG,
BETALL_SH_9,6,CG,
BETPOP_GR_5,6,CG,
BETPOP_SH,6,none,
AMECAN_SH_4,6,RB,
BETPAP_GR,6,none,
BETPOP_SH,6,none,
BETPOP_HF_3,6,CG,
AMECAN_HF,6,none,
BETALL_SH_5,6,CG,
BETPAP_HF,6,none,
BETPOP_HF_5,6,CG,
ALNINC_HF_5,6,CG,
AMECAN_WM,6,none,
BETALL_HF_9,6,none,
ACEPEN_HF_12,6,CG,
ACEPEN_SH,6,none,
AMECAN_SH_2,6,RB,
BETPAP_HF,6,none,
AMECAN_GR_10,6,CG,
BETPAP_WM,6,none,
BETPAP_WM,6,none,
BETPOP_WM_7,6,CG,
ACEPEN_WM_6,6,CG,
SAMRAC_SH,7,none,
ACESPI_GR_8,7,CG,
SORAME_HF,7,none,
SORAME_WM,7,none,
SORAME_GR_9,7,CG,
SAMRAC_WM,7,none,
SAMRAC_WM,7,none,
ACESPI_HF,7,none,
ACESPI_GR_6,7,CG,
ACESPI_HF,7,none,
DIELON_WM,7,none,
DIELON_GR_5,7,CG,
ACESPI_HF,7,none,
DIELON_WM,7,none,
SORAME_SH_3,7,CG,
SORAME_HF,7,none,
SORAME_GR_9,7,CG,
DIELON_SH_4,7,CG,
DIELON_HF_3,7,CG,
SORAME_WM,7,none,
DIELON_GR_5,7,CG,
SORAME_GR_9,7,CG,
SAMRAC_SH,7,none,
DIELON_GR_5,7,CG,
DIELON_WM,7,none,
DIELON_HF_1,7,CG,
ACESPI_GR_4,7,CG,
SORAME_GR_9,7,CG,
ACESPI_SH_2,7,RB,
SAMRAC_WM,7,none,
SAMRAC_GR_7,7,CG,
ACESPI_WM_5,7,RB,
ACESPI_HF_4,7,none,
SORAME_WM,7,none,
SAMRAC_GR_4,7,CG,
SAMRAC_GR,7,none,maybe
VIBCAS_HF,8,none,
SPITOM_GR_2,8,RB,
SPITOM_GR_2,8,RB,
AROMEL_HF_4,8,CG,
MYRGAL_HF,8,none,
VIBCAS_SH_5,8,CG,
MYRGAL_WM_6,8,CG,
VIBCAS_WM_4,8,CG,
MYRGAL_SH_1,8,CG,
VIBCAS_SH_5,8,CG,
AROMEL_HF_10,8,CG,
AROMEL_WM_7,8,CG,
SPIALB_WM_8,8,RB,
VIBCAS_GR_12,8,CG,
AROMEL_GR,8,none,
AROMEL_SH,8,none,
SPITOM_WM_4,8,CG,
SPITOM_HF_6,8,CG,
SPIALB_GR_12,8,CG,
