Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "-5"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "In Field "
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 9927044
    memorySize: 0
    firmwareVersion: 1.113
    firmwareVersionRaw: 0
    deploymentNumber: 2238
Series Info: 
  - name: "Wetness"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LWA-M003
    OMUnitIndex: 0
    OMChannelType: 21
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Voltage"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: 91-U30-CVIA-XX 
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Current"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: 91-U30-CVIA-XX 
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Solar Rad"
    type: value
    unitName: ""
    OMClassName: OMSolarRad_HWS
    OMPartNumber: S-LIB-XXXX
    OMUnitIndex: 0
    OMChannelType: 19
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: "mph"
    OMClassName: OMWindWCA_HWS
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 2
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: "mph"
    OMClassName: OMWindWCA_HWS
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 2
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "*F"
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 1
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: "*F"
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 1
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "*F"
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-TMB-XXXX
    OMUnitIndex: 1
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Rain"
    type: value
    unitName: "in"
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGA-M002
    OMUnitIndex: 1
    OMChannelType: 17
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent_HWS
    OMPartNumber: S-SMC-M003
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "Pressure"
    type: value
    unitName: "inHg"
    OMClassName: OMPressure_HWS
    OMPartNumber: S-BPB-XXXX
    OMUnitIndex: 4
    OMChannelType: 4
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Eastern Daylight Time","Wetness, %","Voltage, V","Current, mA","Solar Rad, W/m^2","Wind Speed, mph","Gust Speed, mph","Wind Dir, *","Temp, *F","RH, %","DewPt, *F","Temp, *F","Rain, in","Water Cont, m^3/m^3","Pressure, inHg","Batt, V"
1,12/16/14 16:45:00,10.6,-0.204,0.006,1,3.3,5.0,74,39.78,92.70,37.85,40.67,0.000,0.1964,29.912,4.35
2,12/16/14 17:00:00,10.6,-0.204,0.006,1,3.3,5.8,76,39.83,92.90,37.96,40.72,0.000,0.1964,29.912,4.36
3,12/16/14 17:15:00,10.6,-0.204,0.006,1,2.1,4.2,83,39.97,93.10,38.14,40.72,0.000,0.1971,29.912,4.36
4,12/16/14 17:30:00,11.2,-0.204,0.006,1,2.5,4.6,69,40.16,93.30,38.39,40.76,0.000,0.1971,29.912,4.37
5,12/16/14 17:45:00,11.2,-0.204,0.006,1,2.9,5.4,74,40.16,93.50,38.44,40.76,0.000,0.1964,29.907,4.35
6,12/16/14 18:00:00,11.8,-0.204,0.006,1,3.7,5.4,73,40.30,93.80,38.66,40.81,0.000,0.1964,29.901,4.36
7,12/16/14 18:15:00,12.4,-0.204,0.006,1,4.6,7.5,70,40.58,94.30,39.07,40.81,0.000,0.1971,29.892,4.36
8,12/16/14 18:30:00,12.9,-0.204,0.006,1,3.3,6.2,77,40.63,94.60,39.20,40.86,0.000,0.1971,29.886,4.36
9,12/16/14 18:45:00,14.1,-0.204,0.006,1,3.3,5.8,76,40.72,95.00,39.40,40.90,0.000,0.1971,29.880,4.35
10,12/16/14 19:00:00,14.7,-0.204,0.006,1,2.9,5.0,77,40.95,95.20,39.69,40.90,0.000,0.1971,29.880,4.36
11,12/16/14 19:15:00,14.7,-0.204,0.006,1,3.3,5.0,73,41.14,95.50,39.96,41.00,0.000,0.1971,29.874,4.36
12,12/16/14 19:30:00,14.7,-0.204,0.006,1,3.7,7.5,69,41.51,95.50,40.33,41.04,0.000,0.1971,29.871,4.36
13,12/16/14 19:45:00,14.1,-0.204,0.006,1,4.2,8.3,72,41.79,95.30,40.55,41.09,0.000,0.1971,29.859,4.34
14,12/16/14 20:00:00,14.7,-0.204,0.006,1,2.9,5.8,77,41.79,95.10,40.50,41.14,0.000,0.1964,29.853,4.35
15,12/16/14 20:15:00,14.1,-0.204,0.006,1,3.3,5.8,74,42.16,94.90,40.80,41.14,0.000,0.1971,29.850,4.36
16,12/16/14 20:30:00,14.1,-0.204,0.006,1,2.9,5.4,76,42.25,94.70,40.84,41.18,0.000,0.1964,29.853,4.36
17,12/16/14 20:45:00,14.1,-0.204,0.006,1,2.5,4.6,80,42.29,94.50,40.84,41.18,0.000,0.1964,29.853,4.34
18,12/16/14 21:00:00,14.1,-0.204,0.006,1,2.5,5.0,76,42.39,94.40,40.91,41.23,0.000,0.1964,29.850,4.35
19,12/16/14 21:15:00,14.1,-0.204,0.006,1,1.7,3.3,72,42.48,94.40,41.00,41.23,0.000,0.1971,29.847,4.36
20,12/16/14 21:30:00,14.1,-0.204,0.006,1,0.8,2.5,51,42.48,94.30,40.96,41.28,0.000,0.1964,29.844,4.36
21,12/16/14 21:45:00,14.7,-0.204,0.006,1,0.0,1.2,49,42.16,94.30,40.64,41.32,0.000,0.1971,29.842,4.38
22,12/16/14 22:00:00,14.1,-0.204,0.006,1,1.2,4.6,48,42.62,94.40,41.13,41.32,0.000,0.1971,29.836,4.35
23,12/16/14 22:15:00,14.1,-0.204,0.006,1,2.9,5.4,41,43.08,94.30,41.56,41.42,0.000,0.1971,29.824,4.36
24,12/16/14 22:30:00,14.7,-0.204,0.006,1,2.5,5.0,60,43.17,94.10,41.59,41.46,0.000,0.1971,29.815,4.36
25,12/16/14 22:45:00,14.7,-0.204,0.006,1,2.5,5.0,67,43.53,94.40,42.04,41.55,0.000,0.1964,29.818,4.34
26,12/16/14 23:00:00,15.3,-0.204,0.006,1,2.5,4.6,62,43.72,94.50,42.26,41.60,0.000,0.1971,29.812,4.39
27,12/16/14 23:15:00,15.3,-0.204,0.006,1,3.3,6.2,37,44.04,94.70,42.62,41.69,0.000,0.1971,29.803,4.36
28,12/16/14 23:30:00,15.9,-0.204,0.006,1,2.9,5.4,27,44.08,94.80,42.69,41.79,0.000,0.1971,29.791,4.36
29,12/16/14 23:45:00,15.9,-0.204,0.006,1,3.3,6.6,34,44.31,95.30,43.07,41.92,0.000,0.1971,29.785,4.34
30,12/17/14 00:00:00,15.9,-0.204,0.006,1,2.9,7.1,13,43.76,95.20,42.49,42.02,0.000,0.1971,29.780,4.35
31,12/17/14 00:15:00,15.9,-0.204,0.006,1,1.7,5.0,348,43.08,95.30,41.83,42.20,0.000,0.1971,29.777,4.35
32,12/17/14 00:30:00,16.5,-0.204,0.006,1,2.1,5.0,8,42.57,95.40,41.36,42.25,0.000,0.1971,29.771,4.36
33,12/17/14 00:45:00,16.5,-0.204,0.006,1,2.5,4.6,25,42.57,95.70,41.43,42.29,0.000,0.1971,29.768,4.34
34,12/17/14 01:00:00,17.1,-0.204,0.006,1,2.1,3.7,0,42.11,95.80,41.00,42.34,0.000,0.1971,29.759,4.35
35,12/17/14 01:15:00,18.2,-0.204,0.006,1,2.1,4.2,338,41.92,96.00,40.87,42.34,0.000,0.1964,29.753,4.36
36,12/17/14 01:30:00,25.9,-0.204,0.006,1,2.9,6.6,314,41.23,96.30,40.26,42.34,0.000,0.1964,29.750,4.39
37,12/17/14 01:45:00,100.0,-0.204,0.006,1,1.7,4.2,317,41.09,96.80,40.26,42.39,0.000,0.1964,29.744,4.34
38,12/17/14 02:00:00,100.0,-0.204,0.006,1,3.3,7.1,34,41.23,97.20,40.50,42.48,0.010,0.2008,29.732,4.35
39,12/17/14 02:15:00,100.0,-0.204,0.006,1,5.0,9.5,37,41.28,97.50,40.62,43.08,0.000,0.1964,29.715,4.35
40,12/17/14 02:30:00,100.0,-0.204,0.006,1,3.3,6.2,20,41.42,97.80,40.84,43.12,0.000,0.1957,29.706,4.36
41,12/17/14 02:45:00,100.0,-0.204,0.006,1,2.5,5.8,31,42.11,98.10,41.61,43.21,0.010,0.1942,29.697,4.37
42,12/17/14 03:00:00,100.0,-0.204,0.006,1,2.1,4.6,18,42.43,98.20,41.97,43.30,0.000,0.1935,29.691,4.35
43,12/17/14 03:15:00,100.0,-0.204,0.006,1,1.2,2.9,355,42.75,98.30,42.31,43.44,0.010,0.1942,29.685,4.35
44,12/17/14 03:30:00,100.0,-0.204,0.006,1,0.8,2.5,355,43.26,98.30,42.82,43.58,0.020,0.1971,29.679,4.35
45,12/17/14 03:45:00,100.0,-0.204,0.006,1,1.2,4.2,355,43.76,98.40,43.36,43.85,0.020,0.2000,29.670,4.34
46,12/17/14 04:00:00,100.0,-0.204,0.006,1,2.1,4.2,18,44.04,98.50,43.65,44.26,0.020,0.2051,29.667,4.36
47,12/17/14 04:15:00,100.0,-0.204,0.006,1,2.1,5.4,343,44.40,98.50,44.02,44.67,0.020,0.2080,29.661,4.35
48,12/17/14 04:30:00,100.0,-0.204,0.006,1,2.9,6.2,355,44.54,98.60,44.19,46.71,0.020,0.2138,29.650,4.35
49,12/17/14 04:45:00,100.0,-0.204,0.006,1,4.6,8.7,351,43.90,98.50,43.52,47.24,0.040,0.2269,29.641,4.34
50,12/17/14 05:00:00,100.0,-0.204,0.006,1,2.9,7.1,320,42.98,98.60,42.62,47.91,0.040,0.2392,29.638,4.35
51,12/17/14 05:15:00,100.0,-0.204,0.006,1,2.5,5.8,345,42.94,98.70,42.60,48.72,0.030,0.2414,29.635,4.39
52,12/17/14 05:30:00,100.0,-0.204,0.006,1,4.2,7.5,0,42.66,98.80,42.35,50.22,0.020,0.2407,29.629,4.35
53,12/17/14 05:45:00,100.0,-0.204,0.006,1,5.8,12.9,4,42.25,98.70,41.92,49.83,0.010,0.2422,29.611,4.34
54,12/17/14 06:00:00,100.0,-0.204,0.006,1,3.3,9.1,350,42.11,98.70,41.77,49.60,0.000,0.2400,29.614,4.35
55,12/17/14 06:15:00,100.0,-0.204,0.006,1,2.9,6.2,321,42.02,98.90,41.74,49.21,0.010,0.2371,29.614,4.35
56,12/17/14 06:30:00,100.0,-0.204,0.006,1,3.3,6.6,313,41.92,98.80,41.61,48.18,0.000,0.2363,29.605,4.39
57,12/17/14 06:45:00,100.0,-0.204,0.006,1,1.7,7.1,354,42.20,98.90,41.92,47.83,0.020,0.2363,29.605,4.34
58,12/17/14 07:00:00,100.0,-0.204,0.006,1,2.5,7.9,319,42.29,98.90,42.01,47.91,0.010,0.2378,29.599,4.35
59,12/17/14 07:15:00,100.0,-0.204,0.006,1,3.3,7.5,316,42.20,98.90,41.92,47.60,0.000,0.2371,29.593,4.35
60,12/17/14 07:30:00,100.0,-0.204,0.006,2,2.9,6.2,284,41.92,98.90,41.65,47.20,0.000,0.2356,29.596,4.35
61,12/17/14 07:45:00,100.0,-0.204,0.006,9,4.2,7.5,296,41.69,98.90,41.41,46.80,0.000,0.2349,29.596,4.34
62,12/17/14 08:00:00,100.0,-0.204,0.006,21,4.2,8.3,295,41.42,98.90,41.14,46.57,0.000,0.2327,29.593,4.35
63,12/17/14 08:15:00,100.0,-0.204,0.006,31,3.7,8.3,305,41.37,98.90,41.09,46.71,0.010,0.2334,29.593,4.36
64,12/17/14 08:30:00,100.0,-0.204,0.006,59,3.7,7.5,307,41.55,98.90,41.27,46.75,0.000,0.2327,29.593,4.39
65,12/17/14 08:45:00,100.0,-0.204,0.006,67,4.2,9.1,313,41.42,98.90,41.14,46.62,0.000,0.2327,29.593,4.39
66,12/17/14 09:00:00,100.0,-0.204,0.006,34,4.2,8.3,307,41.23,98.90,40.95,46.39,0.000,0.2327,29.591,4.40
67,12/17/14 09:15:00,100.0,-0.204,0.006,86,4.6,8.3,292,41.14,98.90,40.86,46.21,0.000,0.2320,29.596,4.43
68,12/17/14 09:30:00,100.0,-0.204,0.006,61,4.2,7.9,282,41.09,98.80,40.78,46.21,0.000,0.2320,29.602,4.44
69,12/17/14 09:45:00,100.0,-0.204,0.006,47,5.0,10.4,291,40.67,98.80,40.37,46.12,0.000,0.2327,29.602,4.42
70,12/17/14 10:00:00,100.0,-0.204,0.006,77,5.4,10.4,306,40.86,98.80,40.55,45.99,0.000,0.2320,29.599,4.44
